입력번호,발전소명,년월,호기,황산화물기준,황산화물평균,질수산화물기준,질수산화물평균,먼지기준,먼지평균,발전소코드
247,서인천,201405,8752,180,0,100,4.145300067,30,0,WI
248,서인천,201405,8753,180,0,100,9.830646465,30,0,WI
249,서인천,201405,8754,180,0,100,12.33358058,30,0,WI
250,서인천,201405,8755,180,0,100,12.97814363,30,0,WI
251,서인천,201405,8756,180,0,100,13.98753036,30,0,WI
252,서인천,201405,8757,180,0,100,9.536430499,30,0,WI
253,서인천,201405,8758,180,0,100,9.531147099,30,0,WI
254,서인천,201406,8751,180,0,100,9.831754875,30,0,WI
255,서인천,201406,8752,180,0,100,11.44968839,30,0,WI
256,서인천,201406,8753,180,0,100,9.24738676,30,0,WI
257,서인천,201406,8754,180,0,100,10.47608387,30,0,WI
258,서인천,201406,8755,180,0,100,7.50128223,30,0,WI
259,서인천,201406,8756,180,0,100,12.23264808,30,0,WI
260,서인천,201406,8757,180,0,100,9.218469033,30,0,WI
261,서인천,201406,8758,180,0,100,8.009045961,30,0,WI
262,서인천,201407,8751,180,0,100,9.927095687,30,0,WI
263,서인천,201407,8752,180,0,100,12.50689144,30,0,WI
264,서인천,201407,8753,180,0,100,8.840107817,30,0,WI
265,서인천,201407,8754,180,0,100,9.717023569,30,0,WI
266,서인천,201407,8755,180,0,100,10.59286869,30,0,WI
267,서인천,201407,8756,180,0,100,11.27653639,30,0,WI
268,서인천,201407,8757,180,0,100,9.130484848,30,0,WI
269,서인천,201407,8758,180,0,100,8.09430303,30,0,WI
270,서인천,201408,8751,180,0,100,7.599244774,30,0,WI
271,서인천,201408,8752,180,0,100,7.988482805,30,0,WI
272,서인천,201408,8753,180,0,100,6.477717758,30,0,WI
273,서인천,201408,8754,180,0,100,7.987386901,30,0,WI
274,서인천,201408,8755,180,0,100,8.473540121,30,0,WI
275,서인천,201408,8756,180,0,100,10.30638327,30,0,WI
276,서인천,201408,8757,180,0,100,6.400950775,30,0,WI
277,서인천,201408,8758,180,0,100,4.537188132,30,0,WI
278,서인천,201409,8751,180,0,100,8.894612701,30,0,WI
279,서인천,201409,8752,180,0,100,10.76531752,30,0,WI
280,서인천,201409,8753,180,0,100,8.26013296,30,0,WI
281,서인천,201409,8754,180,0,100,9.381738827,30,0,WI
282,서인천,201409,8755,180,0,100,9.749059649,30,0,WI
283,서인천,201409,8756,180,0,100,9.963590463,30,0,WI
284,서인천,201409,8757,180,0,100,8.075539972,30,0,WI
285,서인천,201409,8758,180,0,100,6.374016854,30,0,WI
286,서인천,201410,8751,180,0,100,8.526792453,30,0,WI
287,서인천,201410,8752,180,0,100,9.485424528,30,0,WI
288,서인천,201410,8753,180,0,100,6.823975741,30,0,WI
289,서인천,201410,8754,180,0,100,11.53865903,30,0,WI
290,서인천,201410,8755,180,0,100,11.16018194,30,0,WI
291,서인천,201410,8756,180,0,100,12.15471024,30,0,WI
292,서인천,201410,8757,180,0,100,8.635181941,30,0,WI
293,서인천,201410,8758,180,0,100,4.750566038,30,0,WI
294,서인천,201411,8751,180,0,100,8.418098886,30,0,WI
295,서인천,201411,8752,180,0,100,11.99103136,30,0,WI
296,서인천,201411,8753,180,0,100,11.74569638,30,0,WI
297,서인천,201411,8754,180,0,100,12.24695258,30,0,WI
298,서인천,201411,8755,180,0,100,8.920238095,30,0,WI
299,서인천,201411,8756,180,0,100,13.38609331,30,0,WI
300,서인천,201411,8757,180,0,100,10.10510801,30,0,WI
301,서인천,201411,8758,180,0,100,2.877332869,30,0,WI
302,서인천,201412,8751,180,0,100,10.79043478,30,0,WI
303,서인천,201412,8752,180,0,100,13.00981627,30,0,WI
304,서인천,201412,8753,180,0,100,30.38294737,30,0,WI
305,서인천,201412,8754,180,0,100,12.14142857,30,0,WI
306,서인천,201412,8755,180,0,100,15.16240473,30,0,WI
307,서인천,201412,8756,180,0,100,28.23592641,30,0,WI
308,서인천,201412,8757,180,0,100,17.53311927,30,0,WI
309,서인천,201412,8758,180,0,100,10.08352168,30,0,WI
